address	name	full_name	parent_namespace
EXTERNAL:00000001	GetCurrentProcessId	KERNEL32.DLL::GetCurrentProcessId	KERNEL32.DLL
EXTERNAL:00000002	GetModuleHandleA	KERNEL32.DLL::GetModuleHandleA	KERNEL32.DLL
EXTERNAL:00000003	GetProcAddress	KERNEL32.DLL::GetProcAddress	KERNEL32.DLL
EXTERNAL:00000004	DisableThreadLibraryCalls	KERNEL32.DLL::DisableThreadLibraryCalls	KERNEL32.DLL
EXTERNAL:00000005	GetSystemTimeAsFileTime	KERNEL32.DLL::GetSystemTimeAsFileTime	KERNEL32.DLL
EXTERNAL:00000006	GetCurrentThreadId	KERNEL32.DLL::GetCurrentThreadId	KERNEL32.DLL
EXTERNAL:00000007	QueryPerformanceCounter	KERNEL32.DLL::QueryPerformanceCounter	KERNEL32.DLL
EXTERNAL:00000008	IsDebuggerPresent	KERNEL32.DLL::IsDebuggerPresent	KERNEL32.DLL
EXTERNAL:00000009	IsProcessorFeaturePresent	KERNEL32.DLL::IsProcessorFeaturePresent	KERNEL32.DLL
EXTERNAL:0000000a	TerminateProcess	KERNEL32.DLL::TerminateProcess	KERNEL32.DLL
EXTERNAL:0000000b	GetCurrentProcess	KERNEL32.DLL::GetCurrentProcess	KERNEL32.DLL
EXTERNAL:0000000c	SetUnhandledExceptionFilter	KERNEL32.DLL::SetUnhandledExceptionFilter	KERNEL32.DLL
EXTERNAL:0000000d	UnhandledExceptionFilter	KERNEL32.DLL::UnhandledExceptionFilter	KERNEL32.DLL
EXTERNAL:0000000e	RtlVirtualUnwind	KERNEL32.DLL::RtlVirtualUnwind	KERNEL32.DLL
EXTERNAL:0000000f	RtlLookupFunctionEntry	KERNEL32.DLL::RtlLookupFunctionEntry	KERNEL32.DLL
EXTERNAL:00000010	RtlCaptureContext	KERNEL32.DLL::RtlCaptureContext	KERNEL32.DLL
EXTERNAL:00000011	InitializeSListHead	KERNEL32.DLL::InitializeSListHead	KERNEL32.DLL
EXTERNAL:00000012	GetWindowThreadProcessId	USER32.DLL::GetWindowThreadProcessId	USER32.DLL
EXTERNAL:00000013	GetMonitorInfoA	USER32.DLL::GetMonitorInfoA	USER32.DLL
EXTERNAL:00000014	EnumDisplayMonitors	USER32.DLL::EnumDisplayMonitors	USER32.DLL
